Student,User01,เพชรกมล แสงนวล,password789,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,User02,Mana Choo,password123,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Staff,Staff01,Chi Wong,5234,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,Teacher
Student,Petchja,Petchgamon,123456,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,User01785,เจ เจ,5987,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,User15,ยบ ดเ,635678,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,hgj,4569,sd,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,asd,452,ds,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,er,789,q,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,qw,as,as,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,qww,qw,as,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,f,e,d,2022-09-15T20:50:31.533046500,false,/ku/cs/images/defaultImage/defaultImage.png,null
Student,popopo,โอ๊ยเมื่อไหร่จะผ่าน,1234,2022-09-15T20:50:54.483341400,false,/ku/cs/images/defaultImage/defaultImage.png,null
